0.0762,0.0379,0.1147
0.0216,0.0121,0.1488
0.0244,0.0109,0.1845
0.0049,0.0702,0.2599
0.0235,0.0077,0.2934
0.0064,0.0173,0.3178
0.0038,0.0035,0.3254
0.0037,0.0038,0.3331
0.0035,0.0032,0.3401
0.0222,0.0038,0.3663
0.0039,0.0038,0.3742
0.0034,0.0034,0.3813
0.0039,0.0031,0.3886
0.0033,0.0590,0.4512
0.0034,0.0029,0.4579
0.0032,0.0057,0.4669
0.0032,0.0029,0.4732
0.0031,0.0029,0.4795
0.0046,0.0027,0.4870
0.0053,0.0030,0.4956
0.0036,0.0039,0.5033
0.0032,0.0029,0.5097
0.0032,0.0044,0.5175
0.0032,0.0131,0.5340
0.0040,0.0146,0.5530
0.0028,0.0095,0.5655
0.0043,0.0051,0.5751
0.0038,0.0063,0.5854
0.0031,0.0025,0.5913
0.0040,0.0032,0.5987
0.0040,0.0023,0.6052
0.0025,0.0029,0.6108
0.0026,0.0039,0.6176
0.0028,0.0174,0.6379
0.0028,0.0025,0.6435
0.0029,0.0054,0.6520
0.0031,0.0033,0.6586
0.0027,0.0032,0.6647
0.0028,0.0018,0.6695
0.0037,0.0026,0.6759
0.0025,0.0024,0.6810
0.0042,0.0044,0.6899
0.0026,0.0018,0.6946
0.0031,0.0234,0.7212
0.0034,0.0030,0.7278
0.0035,0.0039,0.7354
0.0028,0.0040,0.7424
0.0038,0.0065,0.7529
0.0038,0.0031,0.7601
0.0068,0.0028,0.7699
0.0023,0.0023,0.7748
0.0023,0.0037,0.7809
0.0026,0.0037,0.7874
0.0028,0.0193,0.8098
0.0037,0.0029,0.8189
0.0069,0.0031,0.8291
0.0035,0.0025,0.8353
0.0031,0.0030,0.8416
0.0042,0.0040,0.8500
0.0075,0.0040,0.8620
0.0089,0.0040,0.8751
0.0047,0.0063,0.8866
0.0039,0.0054,0.8961
0.0048,0.0034,0.9045
0.0036,0.0061,0.9186
0.0036,0.0047,0.9271
0.0039,0.0019,0.9332
0.0027,0.0029,0.9401
0.0037,0.0031,0.9472
0.0033,0.0030,0.9546
0.0032,0.0028,0.9608
0.0064,0.0071,0.9744
0.0047,0.0100,0.9894
0.0045,0.0037,0.9979
0.0037,0.0029,1.0049
0.0021,0.0018,1.0091
0.0017,0.0017,1.0127
0.0022,0.0017,1.0169
0.0017,0.0200,1.0387
0.0032,0.0018,1.0440
0.0015,0.0031,1.0488
0.0068,0.0016,1.0576
0.0014,0.0032,1.0625
0.0052,0.0015,1.0696
0.0013,0.0013,1.0724
0.0013,0.0013,1.0751
0.0013,0.0013,1.0778
0.0013,0.0015,1.0808
0.0016,0.0014,1.0841
0.0016,0.0027,1.0887
0.0032,0.0030,1.0950
0.0059,0.0035,1.1046
0.0031,0.0044,1.1123
0.0037,0.0028,1.1194
0.0032,0.0030,1.1258
0.0038,0.0060,1.1359
0.0022,0.0018,1.1401
0.0027,0.0030,1.1463
0.0018,0.0015,1.1499
0.0015,0.0017,1.1533
0.0017,0.0017,1.1569
0.0017,0.0016,1.1604
0.0017,0.0017,1.1639
0.0018,0.0017,1.1677
0.0017,0.0018,1.1714
0.0018,0.0016,1.1752
0.0017,0.0016,1.1787
0.0018,0.0017,1.1824
0.0017,0.0016,1.1860
0.0017,0.0016,1.1895
0.0016,0.0017,1.1930
0.0017,0.0031,1.1980
0.0021,0.0017,1.2020
0.0017,0.0016,1.2055
0.0017,0.0017,1.2092
0.0016,0.0016,1.2127
0.0046,0.0028,1.2203
0.0037,0.0027,1.2271
0.0018,0.0017,1.2307
0.0017,0.0017,1.2344
0.0016,0.0017,1.2379
0.0017,0.0022,1.2420
0.0032,0.0019,1.2476
0.0052,0.0022,1.2552
0.0018,0.0016,1.2590
0.0074,0.0016,1.2682
0.0014,0.0015,1.2713
0.0015,0.0014,1.2745
0.0013,0.0014,1.2774
0.0016,0.0016,1.2808
0.0015,0.0015,1.2839
0.0014,0.0014,1.2870
0.0014,0.0014,1.2900
0.0015,0.0017,1.2934
0.0017,0.0017,1.2969
0.0017,0.0016,1.3005
0.0017,0.0017,1.3041
0.0017,0.0017,1.3077
0.0018,0.0016,1.3113
0.0017,0.0016,1.3149
0.0017,0.0017,1.3185
0.0017,0.0017,1.3221
0.0040,0.0192,1.3455
0.0034,0.0028,1.3520
0.0031,0.0028,1.3581
0.0017,0.0016,1.3616
0.0017,0.0028,1.3664
0.0018,0.0017,1.3701
0.0017,0.0018,1.3738
0.0017,0.0017,1.3774
0.0017,0.0017,1.3810
0.0018,0.0017,1.3847
0.0017,0.0017,1.3883
0.0017,0.0017,1.3919
0.0017,0.0016,1.3954
0.0018,0.0018,1.3992
0.0017,0.0017,1.4029
0.0017,0.0017,1.4064
0.0017,0.0016,1.4100
0.0017,0.0017,1.4135
0.0017,0.0017,1.4172
0.0017,0.0016,1.4207
0.0018,0.0017,1.4244
0.0017,0.0029,1.4292
0.0030,0.0018,1.4342
0.0017,0.0017,1.4378
0.0017,0.0016,1.4413
0.0017,0.0017,1.4449
0.0018,0.0016,1.4486
0.0018,0.0016,1.4522
0.0017,0.0016,1.4557
0.0017,0.0016,1.4592
0.0016,0.0016,1.4627
0.0017,0.0017,1.4663
0.0017,0.0017,1.4699
0.0017,0.0017,1.4736
0.0018,0.0017,1.4773
0.0017,0.0016,1.4807
0.0017,0.0017,1.4844
0.0017,0.0016,1.4879
0.0016,0.0016,1.4914
0.0018,0.0017,1.4951
0.0017,0.0017,1.4988
0.0017,0.0017,1.5024
0.0017,0.0018,1.5061
0.0021,0.0018,1.5102
0.0019,0.0019,1.5142
0.0018,0.0020,1.5183
0.0017,0.0049,1.5251
0.0031,0.0019,1.5304
0.0016,0.0014,1.5337
0.0016,0.0016,1.5372
0.0017,0.0019,1.5410
0.0018,0.0018,1.5448
0.0023,0.0033,1.5506
0.0027,0.0028,1.5565
0.0029,0.0054,1.5650
0.0034,0.0017,1.5704
0.0021,0.0018,1.5745
0.0021,0.0020,1.5790
0.0017,0.0046,1.5859
0.0025,0.0169,1.6056
0.0029,0.0028,1.6114
0.0059,0.0046,1.6222
0.0069,0.0047,1.6341
0.0033,0.0023,1.6399
0.0018,0.0207,1.6626
0.0037,0.0030,1.6697
0.0028,0.0044,1.6771
0.0037,0.0032,1.6843
0.0027,0.0024,1.6897
0.0017,0.0018,1.6934
0.0015,0.0015,1.6966
0.0019,0.0018,1.7007
0.0016,0.0014,1.7039
0.0015,0.0018,1.7075
0.0015,0.0013,1.7105
0.0013,0.0013,1.7132
0.0013,0.0016,1.7163
0.0015,0.0014,1.7194
0.0014,0.0013,1.7223
