M-G362 CSV Log File created by Python,Log Duration (sec): 10.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-02 16:21:01.747000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000052,+0.184184,+0.086680,+0.086861,-173.061378,+888.770233,+430.373575,+34.450770,02446,,1486081261.887000
000000053,+0.184106,+0.091500,+0.132644,-173.170406,+889.692719,+431.194084,+34.455043,02493,,1486081261.887000
000000054,+0.137730,+0.141583,+0.132523,-173.276957,+890.151718,+432.590631,+34.455043,02539,,1486081261.887000
000000055,+0.055705,+0.110971,+0.065031,-172.337376,+890.607121,+433.983772,+34.455043,02586,,1486081261.887000
000000056,+0.061067,+0.060747,+0.023936,-171.989012,+891.186131,+433.640114,+34.455043,02633,,1486081261.888000
000000057,+0.025048,+0.070557,+0.023547,-172.000429,+891.308517,+431.669449,+34.455043,02680,,1486081261.888000
000000058,+0.030109,+0.070487,+0.049026,-172.830343,+889.116333,+430.027662,+34.455043,02727,,1486081261.888000
000000059,+0.055723,+0.100883,+0.064929,-174.584274,+887.968098,+428.862621,+34.455043,02774,,1486081261.888000
000000060,+0.060786,+0.090703,+0.095387,-174.592577,+887.276716,+427.812237,+34.455043,02821,,1486081261.888000
000000061,+0.045459,+0.025128,+0.074188,-173.896830,+886.581144,+427.803907,+34.450770,02868,,1486081261.888000
000000062,+0.066224,-0.040312,+0.073800,-172.728292,+885.991760,+429.186052,+34.455043,02914,,1486081261.888000
000000063,+0.148482,-0.049832,+0.090066,-173.178707,+889.465353,+429.916071,+34.455043,02961,,1486081261.889000
000000064,+0.179342,-0.004089,+0.065539,-173.870941,+891.436916,+429.820829,+34.455043,03008,,1486081261.889000
000000065,+0.148774,+0.016289,-0.036311,-174.219650,+893.294176,+428.911465,+34.455043,03055,,1486081261.889000
000000066,+0.128300,+0.016262,-0.067082,-174.811903,+892.374334,+427.512842,+34.455043,03102,,1486081261.889000
000000067,+0.128127,+0.031196,-0.021193,-174.122787,+890.984529,+426.801622,+34.455043,03149,,1486081261.889000
000000068,+0.076494,-0.009788,+0.038680,-173.890257,+890.173584,+427.141676,+34.450770,03196,,1486081261.889000
000000069,+0.035301,+0.070593,+0.033851,-173.073196,+889.818958,+427.947203,+34.455043,03243,,1486081261.890000
000000070,+0.035224,+0.095769,+0.044270,-172.831383,+891.320986,+428.772467,+34.455043,03289,,1486081261.890000
000000071,+0.071203,+0.146573,+0.024947,-171.070879,+892.117535,+431.210085,+34.455043,03336,,1486081261.890000
000000072,+0.076410,+0.156810,-0.000289,-172.221138,+895.246870,+431.707146,+34.455043,03383,,1486081261.890000
000000073,+0.081628,+0.141784,-0.015618,-172.682280,+896.058369,+431.948236,+34.455043,03430,,1486081261.890000
000000074,+0.060832,+0.166604,+0.040256,-172.921328,+895.482824,+431.131664,+34.455043,03477,,1486081261.890000
000000075,+0.065918,+0.171621,+0.055622,-173.393883,+893.400610,+430.881651,+34.455043,03524,,1486081261.891000
000000076,+0.071046,+0.136380,+0.055338,-172.823368,+891.086412,+430.162579,+34.450770,03571,,1486081261.891000
000000077,+0.076385,+0.040492,+0.069677,-172.827578,+890.274826,+429.922541,+34.455043,03618,,1486081261.891000
000000078,+0.148453,-0.014481,+0.080261,-172.003887,+891.078444,+431.203337,+34.455043,03664,,1486081261.891000
000000079,+0.138156,+0.000594,+0.075192,-171.993162,+891.188452,+432.944202,+34.455043,03711,,1486081261.891000
000000080,+0.168879,+0.041095,+0.096349,-172.569847,+891.767960,+433.415468,+34.455043,03758,,1486081261.892000
000000081,+0.081474,+0.080905,+0.065075,-173.735674,+891.773893,+432.839329,+34.455043,03805,,1486081261.892000
000000082,+0.055548,+0.125927,+0.105838,-171.994892,+890.841410,+432.824957,+34.455043,03852,,1486081261.892000
000000083,+0.040243,+0.110808,+0.074984,-172.582302,+891.310904,+431.555357,+34.455043,03899,,1486081261.892000
000000084,+0.071100,+0.121156,+0.070426,-174.453161,+890.859478,+429.933273,+34.455043,03946,,1486081261.892000
000000085,+0.122656,+0.040827,+0.075391,-175.277197,+889.708040,+428.765207,+34.455043,03993,,1486081261.892000
000000086,+0.132806,+0.056021,+0.085852,-174.820496,+888.436922,+427.940304,+34.450770,04039,,1486081261.892000
000000087,+0.045223,+0.110628,+0.125871,-173.884432,+889.704399,+428.412708,+34.455043,04086,,1486081261.893000
000000088,+0.004228,+0.090289,+0.089533,-175.266819,+892.950346,+428.911612,+34.455043,04133,,1486081261.893000
000000089,+0.029966,+0.105685,+0.074792,-175.259901,+894.106514,+429.502401,+34.455043,04180,,1486081261.893000
000000090,+0.086578,+0.121340,+0.055391,-174.677679,+893.059900,+430.186646,+34.455043,04227,,1486081261.893000
000000091,+0.127765,+0.116657,+0.045739,-173.876129,+890.859797,+429.235470,+34.455043,04274,,1486081261.893000
000000092,+0.138262,+0.061407,+0.009744,-172.724833,+889.701946,+427.944981,+34.455043,04321,,1486081261.893000
000000093,+0.143572,-0.024278,+0.003863,-172.843836,+889.007872,+427.822855,+34.455043,04368,,1486081261.894000
000000094,+0.107436,-0.060127,+0.063993,-173.299097,+889.468073,+429.220539,+34.455043,04414,,1486081261.894000
000000095,+0.076335,-0.015189,+0.114850,-175.378904,+891.324373,+430.404591,+34.455043,04461,,1486081261.894000
000000096,+0.107262,+0.020532,+0.074976,-175.021198,+893.406212,+430.886951,+34.455043,04508,,1486081261.894000
000000097,+0.112295,+0.055813,+0.090649,-172.922710,+892.931517,+432.151630,+34.455043,04555,,1486081261.894000
000000098,+0.065966,+0.116072,+0.070304,-172.686085,+892.928394,+432.846785,+34.455043,04602,,1486081261.894000
000000099,+0.117470,+0.121622,+0.045649,-173.977835,+890.852077,+431.671539,+34.455043,04649,,1486081261.894000
000000100,+0.168945,+0.096798,+0.046096,-175.268896,+889.703398,+430.157030,+34.455043,04696,,1486081261.895000
000000101,+0.169062,-0.014141,+0.044974,-173.189030,+887.732981,+428.972353,+34.450770,04743,,1486081261.895000
000000102,+0.143316,+0.000656,+0.070181,-172.494434,+887.846249,+428.506767,+34.455043,04789,,1486081261.895000
000000103,+0.137951,+0.071099,+0.101317,-173.068007,+889.004032,+429.215437,+34.455043,04836,,1486081261.895000
000000104,+0.081222,+0.131125,+0.116404,-175.262669,+891.787987,+430.176586,+34.455043,04883,,1486081261.895000
000000105,+0.071069,+0.111002,+0.085569,-174.907036,+892.710949,+430.880053,+34.455043,04930,,1486081261.895000
000000106,+0.045505,+0.080672,+0.054420,-173.856756,+893.633059,+431.117308,+34.455043,04977,,1486081261.897000
000000107,+0.019826,+0.050188,+0.058844,-173.395267,+893.169376,+430.763493,+34.455043,05024,,1486081261.897000
000000108,-0.011030,+0.029731,+0.068381,-173.047249,+892.704550,+430.873995,+34.455043,05071,,1486081261.897000
000000109,-0.006048,+0.049907,+0.083905,-173.863962,+893.174986,+430.069555,+34.450770,05118,,1486081261.898000
000000110,+0.066062,+0.070699,+0.064762,-174.098570,+892.595045,+430.064421,+34.455043,05164,,1486081261.898000
000000111,+0.107257,+0.060972,+0.055058,-172.587837,+891.546005,+430.513660,+34.455043,05211,,1486081261.898000
000000112,+0.112381,+0.081209,+0.050251,-171.297125,+891.418833,+432.596148,+34.455043,05258,,1486081261.898000
000000113,+0.066081,+0.050501,+0.069639,-171.634764,+893.501913,+433.428738,+34.455043,05305,,1486081261.899000
000000114,-0.005936,+0.029705,+0.083697,-171.392260,+894.539539,+434.597610,+34.455043,05352,,1486081261.899000
000000115,+0.025072,+0.009920,+0.048341,-171.745466,+894.427248,+433.901747,+34.455043,05399,,1486081261.899000
000000116,+0.066378,+0.020567,-0.006893,-172.577457,+892.468233,+431.798193,+34.455043,05446,,1486081261.899000
000000117,+0.117637,+0.025787,+0.044677,-173.401495,+891.316797,+430.630125,+34.455043,05493,,1486081261.899000
000000118,+0.101995,-0.020123,+0.135476,-174.108948,+889.816757,+429.690390,+34.455043,05539,,1486081261.899000
000000119,+0.086320,-0.010461,+0.206511,-173.296329,+889.466526,+429.684479,+34.455043,05586,,1486081261.900000
000000120,+0.065791,+0.029886,+0.171068,-173.757816,+890.858238,+429.583046,+34.455043,05633,,1486081261.900000
000000121,+0.076087,+0.070426,+0.146209,-173.176634,+890.856237,+429.581154,+34.455043,05680,,1486081261.900000
000000122,+0.117306,+0.065787,+0.126393,-173.755049,+891.552711,+429.705549,+34.455043,05727,,1486081261.900000
000000123,+0.194587,+0.036227,+0.101731,-173.868174,+892.131390,+429.943333,+34.455043,05774,,1486081261.900000
000000124,+0.210032,+0.036368,+0.096860,-174.807753,+891.211975,+428.777817,+34.455043,05821,,1486081261.900000
000000125,+0.184288,+0.071522,+0.086704,-175.750101,+890.990129,+426.806921,+34.455043,05868,,1486081261.998000
000000126,+0.189351,+0.116957,+0.087234,-175.298302,+888.211786,+425.967434,+34.455043,05914,,1486081261.998000
000000127,+0.168873,+0.081535,+0.076432,-173.320892,+887.276182,+426.648218,+34.455043,05961,,1486081261.999000
000000128,+0.117410,+0.081095,+0.085893,-170.989584,+885.988468,+428.368477,+34.455043,06008,,1486081261.999000
000000129,+0.127528,+0.121394,+0.116933,-170.629112,+887.140730,+429.770029,+34.455043,06055,,1486081261.999000
000000130,+0.127463,+0.176921,+0.107333,-171.671091,+889.462086,+429.331224,+34.455043,06102,,1486081261.999000
000000131,+0.060804,+0.136230,+0.065357,-172.707190,+892.592178,+429.479950,+34.455043,06149,,1486081261.999000
000000132,+0.061032,+0.080923,+0.024141,-172.118048,+892.701736,+430.754984,+34.455043,06196,,1486081261.999000
000000133,+0.061061,+0.101186,+0.004019,-172.467796,+892.123497,+430.866673,+34.455043,06243,,1486081262.000000
000000134,+0.066177,+0.060743,+0.034170,-173.517733,+891.317198,+430.630503,+34.455043,06289,,1486081262.000000
000000135,-0.000520,+0.004832,+0.012367,-172.586454,+890.153185,+431.428507,+34.455043,06336,,1486081262.000000
000000136,-0.000643,+0.009722,+0.047990,-170.611122,+888.522720,+432.102772,+34.455043,06383,,1486081262.000000
000000137,+0.045451,+0.085787,+0.044312,-170.249901,+890.952520,+432.936808,+34.450770,06430,,1486081262.000000
000000138,+0.035174,+0.105812,+0.054536,-172.097982,+893.618549,+433.663307,+34.455043,06477,,1486081262.001000
000000139,+0.035197,+0.121010,+0.039444,-172.444963,+893.734789,+433.897501,+34.455043,06524,,1486081262.001000
000000140,+0.097057,+0.086288,+0.014520,-173.157949,+892.933863,+431.688446,+34.455043,06571,,1486081262.001000
000000141,+0.174300,+0.031399,+0.015010,-174.214808,+893.755484,+429.495737,+34.455043,06618,,1486081262.001000
000000142,+0.174268,+0.031355,+0.025174,-172.014959,+892.708685,+428.550882,+34.455043,06664,,1486081262.001000
000000143,+0.168929,+0.031051,+0.086084,-172.254349,+890.857292,+428.302286,+34.455043,06711,,1486081262.002000
000000144,+0.148283,+0.035849,+0.106181,-172.139153,+889.813437,+428.640087,+34.455043,06758,,1486081262.002000
000000145,+0.168756,+0.045985,+0.131973,-172.484402,+890.044712,+429.107334,+34.455043,06805,,1486081262.002000
000000146,+0.199525,+0.106772,+0.127926,-173.529150,+891.439583,+428.659842,+34.455043,06852,,1486081262.002000
000000147,+0.158533,+0.121829,+0.071619,-173.291487,+892.479916,+429.016817,+34.455043,06899,,1486081262.002000
000000148,+0.168811,+0.116842,+0.076790,-173.171444,+892.129375,+429.825075,+34.455043,06946,,1486081262.003000
000000149,+0.199633,+0.147366,+0.072437,-173.864021,+893.753124,+429.842558,+34.455043,06993,,1486081262.003000
000000150,+0.163798,+0.061363,+0.065994,-172.712032,+891.434849,+429.237116,+34.455043,07039,,1486081262.003000
000000151,+0.096898,+0.055739,+0.080275,-172.025684,+888.422539,+428.858641,+34.455043,07086,,1486081262.003000
000000152,+0.076183,+0.146393,+0.075834,-172.022570,+887.608772,+429.778917,+34.455043,07133,,1486081262.004000
000000153,+0.009199,+0.160878,+0.105564,-171.785254,+888.069281,+430.362434,+34.455043,07180,,1486081262.004000
000000154,-0.006247,+0.160737,+0.110435,-171.774181,+890.383167,+431.080074,+34.455043,07227,,1486081262.004000
000000155,+0.004189,+0.110328,+0.115142,-172.926573,+892.467747,+431.798868,+34.459315,07274,,1486081262.004000
000000156,+0.030121,+0.045224,+0.058933,-172.112165,+892.118429,+432.025391,+34.455043,07321,,1486081262.005000
000000157,+0.066074,+0.045435,+0.074670,-170.374842,+891.419888,+431.317280,+34.455043,07368,,1486081262.005000
000000158,+0.133031,+0.046082,+0.045092,-172.008039,+891.776787,+430.165987,+34.455043,07414,,1486081262.005000
000000159,+0.132893,+0.106565,+0.055870,-174.348341,+890.517447,+428.189857,+34.455043,07461,,1486081262.005000
000000160,+0.143249,+0.010678,+0.085528,-173.079424,+887.734371,+427.927647,+34.455043,07508,,1486081262.006000
000000161,+0.091805,-0.009960,+0.099866,-172.035717,+886.224073,+428.258070,+34.455043,07555,,1486081262.006000
000000162,+0.096927,+0.020387,+0.090080,-172.719297,+888.770823,+429.328112,+34.455043,07602,,1486081262.006000
000000163,+0.112365,+0.015462,+0.090240,-174.221380,+891.323080,+429.588907,+34.455043,07649,,1486081262.006000
000000164,+0.092015,+0.000435,+0.028825,-175.262321,+892.831827,+429.722424,+34.455043,07696,,1486081262.006000
000000165,+0.066302,+0.045743,+0.003526,-175.725538,+894.108501,+429.387934,+34.455043,07743,,1486081262.006000
000000166,+0.092152,+0.071402,-0.051765,-176.431953,+894.811953,+427.540956,+34.455043,07789,,1486081262.006000
000000167,+0.050930,+0.040646,-0.011981,-174.700512,+892.144630,+426.814379,+34.455043,07836,,1486081262.007000
000000168,+0.050931,-0.025079,+0.022926,-173.893082,+890.985275,+426.336922,+34.455043,07883,,1486081262.007000
000000169,+0.014798,-0.015423,+0.058109,-173.885471,+890.749014,+427.726574,+34.455043,07930,,1486081262.007000
