M-G362 CSV Log File created by Python,Log Duration (sec): 300.000,Press CTRL-C to exit early,,,,,,,
Creation Date:,2017-02-20 15:23:58.914000,,,,,,,,,
Scaled 32-bit Data,SF_GYRO=+0.0050/2^16 dps/lsb,SF_ACCL=+0.125/2^16 mg/lsb,SF_TEMP=+0.0042725/2^16 degC/lsb,,,,,,
Sample No.,Gx[dps],Gy[dps],Gz[dps],Ax[mG],Ay[mG],Az[mG],Ts[deg.C],Counter[dec],Error
000000051,+0.186948,+0.077225,+0.112636,+1002.285187,+67.307442,-8.980581,+30.579885,19134,,1487633039.344000
000000052,+0.146012,+0.107483,+0.036192,+1002.287945,+67.073954,-8.403036,+30.579885,19509,,1487633039.344000
000000053,+0.140747,+0.112331,+0.071727,+998.565487,+69.176437,-10.110449,+30.579885,19884,,1487633039.364000
000000054,+0.161888,-0.053745,+0.029674,+1002.985239,+68.459229,-9.089029,+30.588430,20259,,1487633039.364000
000000055,+0.130782,+0.087281,+0.010373,+1000.434019,+69.278816,-8.608696,+30.584157,20634,,1487633039.364000
000000056,+0.161299,+0.097184,+0.107403,+1002.043863,+67.079386,-10.373936,+30.584157,21009,,1487633039.394000
000000057,+0.038225,+0.096652,+0.009209,+998.688978,+69.517889,-9.064615,+30.584157,21384,,1487633039.394000
000000058,+0.069005,+0.091877,+0.009587,+1002.868618,+69.507467,-9.657394,+30.579885,21759,,1487633039.394000
000000059,+0.109915,+0.081666,+0.106546,+1001.358059,+66.959394,-8.401678,+30.584157,22134,,1487633039.394000
000000060,+0.110331,+0.041799,-0.000527,+1001.816307,+68.005199,-10.016603,+30.584157,22509,,1487633039.424000
000000061,+0.084340,+0.091748,+0.060584,+998.789650,+69.178335,-11.503136,+30.584157,22884,,1487633039.424000
000000062,+0.079202,+0.056473,+0.055083,+1002.747568,+67.655111,-9.558546,+30.579885,23259,,1487633039.424000
000000063,+0.156356,+0.072276,+0.035975,+1000.201246,+70.325483,-9.177258,+30.579885,23634,,1487633039.454000
000000064,+0.079240,-0.024452,+0.110130,+1003.206541,+67.538883,-10.489298,+30.584157,24009,,1487633039.454000
000000065,+0.079203,+0.116978,+0.045531,+1000.191589,+66.849936,-9.094660,+30.584157,24384,,1487633039.454000
000000066,+0.068609,+0.167141,+0.091622,+1002.031412,+68.248026,-13.029186,+30.579885,24759,,1487633039.454000
000000067,+0.130451,+0.213290,+0.021817,+1002.287918,+64.754610,-7.265425,+30.579885,25134,,1487633039.474000
000000068,+0.079154,+0.046303,+0.075297,+1002.973761,+68.121683,-10.830338,+30.579885,25509,,1487633039.474000
000000069,+0.078804,+0.086258,+0.162054,+999.239513,+64.896284,-11.892323,+30.579885,25884,,1487633039.474000
000000070,+0.048384,+0.086591,+0.029571,+1000.428118,+70.095860,-9.991821,+30.579885,26259,,1487633039.504000
000000071,+0.083898,+0.131710,+0.152426,+1002.043486,+68.125257,-10.943256,+30.579885,26634,,1487633039.504000
000000072,+0.048375,+0.091632,+0.029622,+1002.508583,+64.528484,-9.123499,+30.579885,27009,,1487633039.504000
000000073,+0.068926,+0.086588,+0.060321,+998.336935,+69.521029,-9.643209,+30.584157,27384,,1487633039.504000
000000074,+0.027642,+0.025430,+0.140413,+1002.968267,+66.499279,-10.962154,+30.584157,27759,,1487633039.534000
000000075,+0.027757,+0.136747,+0.045032,+1000.191250,+67.429966,-9.437037,+30.584157,28134,,1487633039.534000
000000076,+0.089250,+0.157166,+0.096874,+1002.169075,+71.016821,-10.800959,+30.584157,28509,,1487633039.534000
000000077,+0.089068,+0.091495,+0.141935,+998.787466,+67.096035,-10.825964,+30.575612,28884,,1487633039.564000
000000078,+0.043458,+0.026075,+0.018722,+999.145849,+70.564472,-10.911434,+30.584157,29259,,1487633039.564000
000000079,+0.063446,+0.136885,+0.091251,+1003.094379,+66.381222,-9.223282,+30.575612,29634,,1487633039.564000
000000080,+0.110218,+0.087123,+0.010092,+1000.907448,+70.316071,-7.672812,+30.584157,30009,,1487633039.564000
000000081,+0.058747,+0.046226,+0.049613,+1000.060223,+67.786625,-12.100134,+30.584157,30384,,1487633039.584000
000000082,+0.192218,+0.031962,+0.097009,+1000.651855,+66.968807,-9.906124,+30.579885,30759,,1487633039.584000
000000083,+0.074087,+0.106996,+0.019969,+1002.056597,+68.349806,-8.854048,+30.579885,31134,,1487633039.594000
000000084,+0.176834,+0.062082,+0.092019,+1002.511108,+70.207550,-11.505415,+30.584157,31509,,1487633039.624000
000000085,+0.141011,+0.046996,+0.025349,+1001.815895,+66.035921,-9.107029,+30.579885,31884,,1487633039.624000
000000086,+0.089617,+0.066575,+0.055313,+1002.285309,+70.086716,-10.346870,+30.588430,32259,,1487633039.624000
000000087,+0.125407,+0.117246,+0.066481,+1002.276602,+66.730495,-10.146078,+30.584157,32634,,1487633039.624000
000000088,+0.048420,+0.122009,-0.000546,+1002.042425,+65.922462,-10.036444,+30.579885,33009,,1487633039.644000
000000089,+0.151074,+0.157815,+0.057084,+1002.746588,+68.233561,-10.017447,+30.584157,33384,,1487633039.644000
000000090,+0.115239,+0.061739,+0.060699,+1002.400034,+65.682310,-8.417101,+30.584157,33759,,1487633039.644000
000000091,+0.110080,+0.066857,+0.040369,+999.255749,+66.626657,-10.020805,+30.579885,34134,,1487633039.684000
000000092,+0.063793,+0.025926,+0.090113,+1001.812866,+68.702948,-10.937614,+30.584157,34509,,1487633039.684000
000000093,+0.114926,+0.107056,+0.086569,+999.385035,+68.708256,-8.841486,+30.575612,34884,,1487633039.684000
000000094,+0.017511,+0.060923,+0.074600,+1002.040436,+68.936806,-11.863754,+30.584157,35259,,1487633039.684000
000000095,+0.089328,+0.116977,+0.071075,+1002.057978,+68.349028,-8.622156,+30.579885,35634,,1487633039.684000
000000096,+0.048367,+0.046015,+0.079948,+1002.168360,+68.697865,-9.779293,+30.584157,36009,,1487633039.704000
000000097,+0.120043,+0.117039,+0.112131,+1000.880455,+66.854181,-10.487703,+30.579885,36384,,1487633039.704000
000000098,+0.027764,+0.136886,+0.019643,+999.837442,+67.783949,-10.475557,+30.579885,36759,,1487633039.714000
000000099,+0.089109,+0.116553,+0.162495,+1001.701149,+68.352917,-10.012947,+30.584157,37134,,1487633039.734000
000000100,+0.063756,+0.041166,+0.069956,+1003.911608,+66.490290,-8.645689,+30.579885,37509,,1487633039.734000
000000101,+0.007450,+0.056088,+0.008378,+1000.899504,+69.508770,-8.608027,+30.584157,37884,,1487633039.734000
000000102,+0.074053,+0.066398,+0.075425,+999.260286,+67.433929,-9.665901,+30.584157,38259,,1487633039.754000
000000103,+0.033115,-0.004403,+0.053829,+1001.700441,+66.729765,-9.332565,+30.584157,38634,,1487633039.754000
000000104,+0.151164,+0.041720,+0.091462,+1000.656761,+69.747330,-10.460215,+30.584157,39009,,1487633039.754000
000000105,+0.089563,+0.021287,+0.049786,+1005.075306,+65.673567,-7.961445,+30.579885,39384,,1487633039.784000
000000106,+0.099932,-0.003912,+0.059823,+1000.427473,+70.094280,-10.108345,+30.584157,39759,,1487633039.784000
000000107,+0.053193,+0.116503,+0.116295,+1000.295340,+68.250111,-11.864052,+30.579885,40134,,1487633039.784000
000000108,+0.115256,+0.046733,+0.040235,+1000.888750,+68.241123,-9.778921,+30.579885,40509,,1487633039.804000
000000109,+0.027644,+0.126490,+0.085564,+1002.515574,+68.465511,-9.898558,+30.584157,40884,,1487633039.804000
000000110,+0.130713,+0.051820,+0.050649,+1001.580103,+66.964428,-10.141623,+30.584157,41259,,1487633039.804000
000000111,+0.084432,+0.132294,+0.010200,+1000.195417,+69.746979,-9.878973,+30.584157,41634,,1487633039.824000
000000112,+0.140545,+0.096901,+0.142683,+999.724386,+71.145649,-11.602961,+30.579885,42009,,1487633039.824000
000000113,+0.135618,+0.102071,+0.096944,+1001.006390,+69.629585,-10.230553,+30.584157,42384,,1487633039.824000
000000114,+0.125327,+0.036423,+0.111383,+1001.704220,+69.396843,-10.002539,+30.579885,42759,,1487633039.854000
000000115,+0.212635,+0.102532,+0.128475,+1001.574266,+69.403044,-12.321655,+30.584157,43134,,1487633039.854000
000000116,+0.135832,+0.092252,+0.035891,+1002.386921,+65.457758,-10.506310,+30.584157,43509,,1487633039.854000
000000117,+0.161343,+0.087007,+0.122532,+1003.216267,+69.386948,-9.776724,+30.588430,43884,,1487633039.874000
000000118,+0.079136,+0.056385,+0.075400,+999.255079,+68.482523,-11.046841,+30.579885,44259,,1487633039.874000
000000119,+0.146040,+0.097284,+0.056400,+1002.035580,+66.620182,-11.537764,+30.584157,44634,,1487633039.874000
000000120,+0.125617,+0.082157,+0.020410,+1002.173517,+67.187376,-8.170252,+30.584157,45009,,1487633039.904000
000000121,+0.130555,+0.066767,+0.091437,+1002.745554,+68.350111,-10.248245,+30.584157,45384,,1487633039.904000
000000122,+0.058500,+0.106658,+0.070550,+1001.230778,+67.199919,-10.369616,+30.579885,45759,,1487633039.904000
000000123,+0.146086,+0.061976,+0.061121,+1000.548502,+70.091160,-9.297102,+30.584157,46134,,1487633039.924000
000000124,+0.089586,+0.056428,+0.070448,+1000.183701,+66.968401,-10.485495,+30.588430,46509,,1487633039.924000
000000125,+0.048433,+0.046103,+0.059631,+1002.050766,+67.307436,-9.328238,+30.584157,46884,,1487633039.924000
000000126,+0.069037,+0.051367,+0.044726,+1003.225882,+69.383476,-8.152903,+30.584157,47259,,1487633039.944000
000000127,+0.145852,+0.076953,+0.101915,+1002.513079,+65.569664,-8.881775,+30.579885,47634,,1487633039.944000
000000128,+0.084567,+0.046576,+0.014410,+999.949545,+67.783913,-11.172190,+30.584157,48009,,1487633039.944000
000000129,+0.017256,+0.136245,+0.136311,+1002.864212,+68.462347,-9.900272,+30.588430,48384,,1487633039.974000
000000130,+0.110031,+0.071716,+0.075969,+1002.062824,+65.793056,-6.559738,+30.584157,48759,,1487633039.974000
000000131,+0.141174,+0.006662,+0.019854,+1003.913076,+70.198494,-10.234554,+30.584157,49134,,1487633039.974000
000000132,+0.063694,+0.040822,+0.135973,+999.031048,+68.242777,-9.542128,+30.588430,49509,,1487633039.994000
000000133,+0.105187,+0.046939,-0.025936,+1000.423267,+68.243105,-9.893353,+30.579885,49884,,1487633039.994000
000000134,+0.212606,+0.122834,+0.103290,+1001.122538,+69.167288,-10.002831,+30.579885,50259,,1487633039.994000
000000135,+0.141161,+0.026986,-0.010410,+1000.656342,+67.082251,-9.209356,+30.579885,50634,,1487633040.024000
000000136,+0.063804,+0.136973,+0.050597,+999.026552,+67.201597,-9.783852,+30.588430,51009,,1487633040.024000
000000137,+0.104832,+0.076651,+0.091187,+1003.660631,+66.963478,-12.003569,+30.584157,51384,,1487633040.024000
000000138,+0.074148,+0.031155,+0.064909,+1001.701485,+67.540951,-9.556810,+30.584157,51759,,1487633040.044000
000000139,+0.089314,+0.126803,+0.116877,+1002.160812,+68.468237,-10.941513,+30.588430,52134,,1487633040.044000
000000140,+0.079136,+0.107043,+0.025125,+998.568863,+66.393251,-8.165009,+30.575612,52509,,1487633040.044000
000000141,+0.053700,+0.021047,+0.034049,+1002.512472,+68.815165,-10.590956,+30.584157,52884,,1487633040.064000
000000142,+0.125231,+0.086694,+0.137284,+1003.456532,+67.412207,-7.476555,+30.584157,53259,,1487633040.064000
000000143,+0.079163,+0.056290,+0.090631,+1001.222891,+67.550318,-11.874212,+30.584157,53634,,1487633040.064000
000000144,-0.044484,+0.054992,+0.170210,+1000.419876,+69.402750,-11.042463,+30.584157,54009,,1487633040.104000
000000145,+0.141005,+0.036754,+0.055716,+1000.652943,+67.778025,-10.130947,+30.584157,54384,,1487633040.104000
000000146,+0.017557,+0.136778,+0.019495,+997.750044,+66.395208,-9.091082,+30.584157,54759,,1487633040.104000
000000147,+0.089474,+0.016115,+0.080210,+1002.269705,+71.143106,-13.466419,+30.579885,55134,,1487633040.104000
000000148,+0.037896,+0.035708,+0.120345,+1003.815090,+67.755249,-5.966543,+30.579885,55509,,1487633040.104000
000000149,+0.156609,+0.037113,+0.000055,+999.827139,+68.019743,-12.329084,+30.584157,55884,,1487633040.134000
000000150,+0.089377,+0.061461,+0.085750,+999.374376,+67.900539,-10.241060,+30.579885,56259,,1487633040.134000
000000151,+0.063715,+0.157326,+0.020340,+1001.825922,+68.001730,-8.392784,+30.579885,56634,,1487633040.134000
000000152,+0.135598,+0.122257,+0.092069,+1000.787430,+68.115229,-7.229404,+30.584157,57009,,1487633040.164000
000000153,+0.120587,+0.046897,+0.004744,+1002.283855,+67.538181,-9.326811,+30.584157,57384,,1487633040.164000
000000154,+0.104610,+0.117037,+0.091609,+999.961876,+67.780859,-9.084009,+30.575612,57759,,1487633040.164000
000000155,+0.140623,+0.187828,+0.092805,+1000.188847,+68.475033,-10.354773,+30.584157,58134,,1487633040.164000
000000156,+0.084303,+0.106987,+0.040427,+1000.786711,+69.509195,-8.027340,+30.579885,58509,,1487633040.184000
000000157,+0.182023,+0.127872,+0.041961,+1001.940420,+66.260824,-7.830395,+30.584157,58884,,1487633040.194000
000000158,+0.094657,+0.016081,+0.090433,+1000.903301,+69.854532,-8.140965,+30.584157,59259,,1487633040.194000
000000159,+0.171871,-0.053804,+0.075541,+1000.078489,+70.213606,-10.221483,+30.579885,59634,,1487633040.224000
000000160,+0.120109,+0.117126,+0.091814,+1000.886326,+67.430714,-9.786566,+30.579885,60009,,1487633040.224000
000000161,+0.125560,+0.077028,+0.040676,+997.982124,+69.061853,-10.458063,+30.584157,60384,,1487633040.224000
000000162,+0.063805,+0.056259,+0.070103,+1003.440992,+66.145313,-9.459650,+30.584157,60759,,1487633040.224000
000000163,+0.156430,+0.026768,+0.060904,+1002.290760,+67.998165,-8.394876,+30.584157,61134,,1487633040.244000
000000164,+0.161342,+0.026501,+0.132084,+1003.423056,+66.387354,-12.588001,+30.584157,61509,,1487633040.244000
000000165,+0.079149,+0.162252,+0.061223,+1000.422667,+68.239553,-10.010452,+30.588430,61884,,1487633040.244000
000000166,+0.099498,+0.222886,+0.072283,+1001.460478,+68.822248,-11.631062,+30.584157,62259,,1487633040.294000
000000167,+0.109992,+0.051581,+0.075771,+1000.184305,+67.203890,-10.482155,+30.579885,62634,,1487633040.294000
000000168,+0.068946,+0.056299,+0.070173,+1004.379904,+67.180588,-8.409334,+30.584157,63009,,1487633040.294000
