frame	osa	sroa	vicon	draw	total
0.043	0.024	0.000	0.013	0.000	0.081
0.069	0.035	0.000	0.014	0.000	0.118
0.032	0.030	0.000	0.011	0.000	0.074
0.021	0.078	0.000	0.011	0.000	0.109
0.036	0.046	0.000	0.011	0.000	0.093
0.091	0.024	0.000	0.014	0.000	0.130
0.034	0.025	0.000	0.009	0.000	0.069
0.052	0.020	0.000	0.009	0.000	0.081
0.065	0.042	0.000	0.013	0.000	0.121
0.088	0.020	0.000	0.010	0.037	0.156
0.026	0.075	0.000	0.010	0.000	0.111
0.021	0.022	0.000	0.011	0.000	0.055
0.047	0.035	0.001	0.013	0.000	0.096
0.036	0.096	0.000	0.013	0.000	0.146
0.034	0.027	0.000	0.014	0.000	0.075
0.048	0.023	0.000	0.012	0.000	0.083
0.123	0.021	0.000	0.008	0.000	0.152
0.042	0.025	0.000	0.007	0.000	0.074
0.033	0.050	0.000	0.016	0.000	0.099
0.041	0.056	0.000	0.009	0.000	0.106
0.102	0.056	0.000	0.012	0.000	0.171
0.021	0.034	0.000	0.011	0.000	0.068
0.087	0.022	0.000	0.012	0.000	0.121
0.042	0.032	0.000	0.012	0.000	0.086
0.033	0.022	0.000	0.008	0.000	0.064
0.032	0.041	0.000	0.010	0.000	0.083
0.066	0.096	0.000	0.008	0.000	0.171
0.038	0.025	0.001	0.012	0.000	0.076
0.047	0.025	0.000	0.010	0.000	0.083
0.034	0.021	0.000	0.011	0.032	0.099
0.090	0.020	0.000	0.012	0.000	0.123
0.123	0.027	0.000	0.013	0.000	0.163
0.110	0.052	0.000	0.014	0.000	0.177
0.042	0.079	0.000	0.010	0.000	0.130
0.034	0.100	0.000	0.010	0.000	0.144
0.041	0.020	0.000	0.010	0.000	0.072
0.045	0.022	0.000	0.014	0.000	0.082
0.129	0.009	0.000	0.011	0.000	0.150
0.129	0.029	0.000	0.011	0.000	0.169
0.035	0.025	0.000	0.009	0.000	0.069
0.037	0.035	0.000	0.011	0.000	0.083
0.109	0.055	0.001	0.016	0.000	0.181
0.024	0.025	0.001	0.010	0.000	0.059
0.033	0.072	0.000	0.008	0.000	0.114
0.019	0.013	0.000	0.006	0.000	0.038
0.035	0.073	0.000	0.008	0.000	0.117
0.020	0.024	0.000	0.011	0.000	0.055
0.041	0.023	0.001	0.017	0.000	0.083
0.037	0.031	0.001	0.013	0.000	0.082
0.036	0.022	0.000	0.012	0.027	0.097
0.017	0.022	0.000	0.010	0.000	0.049
0.043	0.042	0.000	0.013	0.000	0.098
0.026	0.028	0.000	0.011	0.000	0.066
0.039	0.023	0.001	0.012	0.000	0.075
0.068	0.094	0.000	0.008	0.000	0.171
0.055	0.040	0.000	0.009	0.000	0.104
0.032	0.030	0.000	0.011	0.000	0.074
0.033	0.053	0.000	0.012	0.000	0.098
0.043	0.029	0.000	0.011	0.000	0.084
0.044	0.108	0.000	0.013	0.000	0.165
0.035	0.013	0.000	0.011	0.000	0.059
0.014	0.019	0.000	0.013	0.000	0.046
0.086	0.024	0.001	0.012	0.000	0.124
0.109	0.020	0.000	0.009	0.000	0.138
0.030	0.052	0.000	0.013	0.000	0.096
0.043	0.025	0.000	0.006	0.000	0.076
0.031	0.071	0.000	0.012	0.000	0.115
0.034	0.035	0.001	0.013	0.000	0.082
0.031	0.027	0.000	0.012	0.000	0.071
0.022	0.014	0.001	0.013	0.031	0.080
0.016	0.011	0.001	0.014	0.000	0.042
0.128	0.022	0.001	0.014	0.000	0.164
0.051	0.032	0.000	0.013	0.000	0.097
0.034	0.022	0.000	0.011	0.000	0.068
0.037	0.033	0.000	0.012	0.000	0.083
0.040	0.025	0.000	0.010	0.000	0.075
0.037	0.026	0.000	0.008	0.000	0.071
0.030	0.074	0.000	0.008	0.000	0.112
0.018	0.012	0.000	0.009	0.000	0.039
0.022	0.028	0.000	0.012	0.000	0.063
0.041	0.020	0.000	0.011	0.000	0.073
0.047	0.084	0.000	0.009	0.000	0.140
0.034	0.039	0.001	0.013	0.000	0.087
0.039	0.056	0.000	0.013	0.000	0.108
0.025	0.014	0.000	0.012	0.000	0.051
0.036	0.027	0.000	0.010	0.000	0.074
0.036	0.037	0.000	0.013	0.000	0.087
0.037	0.033	0.000	0.007	0.000	0.077
0.027	0.077	0.001	0.010	0.000	0.115
0.023	0.012	0.000	0.011	0.089	0.135
