1481070098.245771,1481070098.246055,1481070098.246689,1481070098.246699,1481070098.247928
1481070098.252835,1481070098.253127,1481070098.253710,1481070098.253721,1481070098.253792
1481070098.261455,1481070098.261734,1481070098.262351,1481070098.262361,1481070098.262439
1481070098.268673,1481070098.268937,1481070098.269479,1481070098.269489,1481070098.269558
1481070098.277160,1481070098.277431,1481070098.277993,1481070098.278603,1481070098.278683
1481070098.285850,1481070098.286137,1481070098.286696,1481070098.286706,1481070098.286739
1481070098.293092,1481070098.293361,1481070098.293966,1481070098.293976,1481070098.294046
1481070098.301766,1481070098.302035,1481070098.302603,1481070098.302614,1481070098.302683
1481070098.308916,1481070098.309184,1481070098.309747,1481070098.309793,1481070098.309825
1481070098.317439,1481070098.317717,1481070098.318288,1481070098.318861,1481070098.318907
1481070098.324660,1481070098.324942,1481070098.325553,1481070098.325563,1481070098.325596
1481070098.333259,1481070098.333533,1481070098.334108,1481070098.334119,1481070098.334190
1481070098.341951,1481070098.342219,1481070098.342829,1481070098.342840,1481070098.342871
1481070098.348946,1481070098.349212,1481070098.349823,1481070098.349833,1481070098.349864
1481070098.357395,1481070098.357668,1481070098.358234,1481070098.358817,1481070098.358860
1481070098.365908,1481070098.366194,1481070098.366749,1481070098.366796,1481070098.366829
1481070098.372891,1481070098.373165,1481070098.373730,1481070098.373740,1481070098.373820
1481070098.381440,1481070098.381713,1481070098.382302,1481070098.382314,1481070098.382346
1481070098.389956,1481070098.390216,1481070098.390816,1481070098.390828,1481070098.390860
1481070098.396963,1481070098.397231,1481070098.397848,1481070098.398465,1481070098.398508
1481070098.405398,1481070098.405682,1481070098.406256,1481070098.406304,1481070098.406338
1481070098.413928,1481070098.414200,1481070098.414802,1481070098.414814,1481070098.414846
1481070098.420948,1481070098.421225,1481070098.421949,1481070098.421961,1481070098.421995
1481070098.429385,1481070098.429661,1481070098.430232,1481070098.430243,1481070098.430313
1481070098.437901,1481070098.438173,1481070098.438740,1481070098.439340,1481070098.439383
1481070098.445204,1481070098.445488,1481070098.446112,1481070098.446123,1481070098.446192
1481070098.453571,1481070098.453858,1481070098.454485,1481070098.454496,1481070098.455705
1481070098.461963,1481070098.462244,1481070098.462869,1481070098.462880,1481070098.462954
1481070098.468917,1481070098.469185,1481070098.469743,1481070098.469753,1481070098.469824
1481070098.477390,1481070098.477662,1481070098.478230,1481070098.478790,1481070098.478832
1481070098.485886,1481070098.486175,1481070098.486743,1481070098.486754,1481070098.486822
1481070098.493119,1481070098.493386,1481070098.494003,1481070098.494015,1481070098.494088
1481070098.502031,1481070098.502314,1481070098.503128,1481070098.503139,1481070098.503174
1481070098.508848,1481070098.509112,1481070098.510283,1481070098.510297,1481070098.510332
1481070098.517386,1481070098.517670,1481070098.518234,1481070098.518792,1481070098.518836
1481070098.525982,1481070098.526262,1481070098.526869,1481070098.526880,1481070098.526949
1481070098.533122,1481070098.533385,1481070098.533998,1481070098.534010,1481070098.534078
1481070098.541679,1481070098.541952,1481070098.542503,1481070098.542514,1481070098.542581
1481070098.548861,1481070098.549127,1481070098.549737,1481070098.549748,1481070098.549781
1481070098.557412,1481070098.557688,1481070098.558239,1481070098.558811,1481070098.558855
1481070098.565922,1481070098.566203,1481070098.566775,1481070098.566785,1481070098.566854
1481070098.573148,1481070098.573425,1481070098.573976,1481070098.573987,1481070098.574018
1481070098.581730,1481070098.582000,1481070098.582607,1481070098.582618,1481070098.582648
1481070098.588872,1481070098.589134,1481070098.589726,1481070098.589737,1481070098.589768
1481070098.597413,1481070098.597687,1481070098.598248,1481070098.598802,1481070098.598844
1481070098.605992,1481070098.606283,1481070098.606868,1481070098.606879,1481070098.606911
1481070098.613326,1481070098.613603,1481070098.614204,1481070098.614217,1481070098.614249
1481070098.621857,1481070098.622129,1481070098.622753,1481070098.622764,1481070098.622830
1481070098.629040,1481070098.629318,1481070098.629882,1481070098.629892,1481070098.629960
1481070098.637598,1481070098.637869,1481070098.638488,1481070098.639106,1481070098.639150
1481070098.644691,1481070098.644980,1481070098.645546,1481070098.645593,1481070098.645625
1481070098.653337,1481070098.653615,1481070098.654232,1481070098.654243,1481070098.654275
1481070098.661958,1481070098.662224,1481070098.662782,1481070098.662793,1481070098.664045
1481070098.669106,1481070098.669380,1481070098.669992,1481070098.670004,1481070098.670034
1481070098.677588,1481070098.677861,1481070098.678423,1481070098.679039,1481070098.679117
1481070098.684902,1481070098.685191,1481070098.685774,1481070098.685785,1481070098.685854
1481070098.693512,1481070098.693774,1481070098.694386,1481070098.694399,1481070098.694465
1481070098.702027,1481070098.702301,1481070098.702871,1481070098.702882,1481070098.702913
1481070098.709243,1481070098.709507,1481070098.710048,1481070098.710096,1481070098.710128
1481070098.717759,1481070098.718034,1481070098.718584,1481070098.719145,1481070098.719191
1481070098.724914,1481070098.725204,1481070098.725755,1481070098.725767,1481070098.725798
1481070098.733492,1481070098.733764,1481070098.734391,1481070098.734402,1481070098.734468
1481070098.742102,1481070098.742369,1481070098.742927,1481070098.742973,1481070098.743006
1481070098.749215,1481070098.749492,1481070098.750102,1481070098.750114,1481070098.750145
1481070098.757817,1481070098.758087,1481070098.758650,1481070098.759226,1481070098.759269
1481070098.764925,1481070098.765212,1481070098.765785,1481070098.765796,1481070098.765864
1481070098.773468,1481070098.773750,1481070098.774311,1481070098.774359,1481070098.774392
1481070098.780657,1481070098.780928,1481070098.781622,1481070098.781633,1481070098.781666
