start,read,process,send
1488491464495.000000,0.000000,0.000000,0.000000
1488491464523.000000,0.000000,0.000000,0.000000
1488491464523.000000,0.000000,0.000000,0.000000
1488491464524.000000,0.000000,0.000000,0.000000
1488491464547.000000,0.000000,0.000000,0.000000
1488491464547.000000,0.000000,0.000000,0.000000
1488491464548.000000,0.000000,0.000000,0.000000
1488491464570.000000,0.000000,1.000000,0.000000
1488491464571.000000,0.000000,0.000000,0.000000
1488491464571.000000,0.000000,0.000000,0.000000
1488491464594.000000,1.000000,0.000000,0.000000
1488491464595.000000,0.000000,1.000000,0.000000
1488491464596.000000,0.000000,0.000000,0.000000
1488491464618.000000,1.000000,0.000000,0.000000
1488491464619.000000,0.000000,1.000000,0.000000
1488491464620.000000,0.000000,0.000000,0.000000
1488491464642.000000,0.000000,1.000000,0.000000
1488491464643.000000,0.000000,0.000000,0.000000
1488491464643.000000,0.000000,0.000000,0.000000
1488491464666.000000,0.000000,0.000000,1.000000
1488491464672.000000,1.000000,0.000000,0.000000
1488491464675.000000,1.000000,0.000000,0.000000
1488491464691.000000,0.000000,0.000000,0.000000
1488491464691.000000,0.000000,0.000000,0.000000
1488491464692.000000,0.000000,0.000000,0.000000
1488491464714.000000,0.000000,0.000000,0.000000
1488491464715.000000,0.000000,0.000000,0.000000
1488491464716.000000,0.000000,0.000000,0.000000
1488491464738.000000,0.000000,0.000000,0.000000
1488491464739.000000,0.000000,0.000000,0.000000
1488491464740.000000,0.000000,0.000000,0.000000
1488491464762.000000,1.000000,0.000000,0.000000
1488491464763.000000,0.000000,0.000000,0.000000
1488491464763.000000,0.000000,1.000000,0.000000
1488491464786.000000,0.000000,0.000000,0.000000
1488491464787.000000,0.000000,0.000000,0.000000
1488491464787.000000,0.000000,0.000000,0.000000
1488491464810.000000,0.000000,0.000000,0.000000
1488491464810.000000,0.000000,0.000000,0.000000
1488491464811.000000,0.000000,0.000000,0.000000
1488491464850.000000,0.000000,0.000000,0.000000
1488491464850.000000,0.000000,0.000000,0.000000
1488491464851.000000,0.000000,0.000000,0.000000
1488491464851.000000,0.000000,0.000000,0.000000
1488491464851.000000,0.000000,0.000000,0.000000
1488491464875.000000,0.000000,0.000000,0.000000
1488491464875.000000,0.000000,0.000000,0.000000
1488491464876.000000,0.000000,0.000000,0.000000
1488491464922.000000,0.000000,0.000000,0.000000
1488491464922.000000,0.000000,0.000000,1.000000
1488491464926.000000,0.000000,0.000000,0.000000
1488491464928.000000,0.000000,0.000000,0.000000
1488491464928.000000,0.000000,0.000000,0.000000
1488491464928.000000,0.000000,0.000000,0.000000
1488491464947.000000,0.000000,0.000000,0.000000
1488491464947.000000,0.000000,0.000000,0.000000
1488491464948.000000,0.000000,0.000000,0.000000
1488491464994.000000,0.000000,0.000000,0.000000
1488491464996.000000,0.000000,0.000000,0.000000
1488491464996.000000,1.000000,0.000000,0.000000
1488491464997.000000,0.000000,0.000000,0.000000
1488491464998.000000,0.000000,0.000000,0.000000
1488491464998.000000,0.000000,0.000000,0.000000
1488491465019.000000,0.000000,0.000000,0.000000
1488491465019.000000,0.000000,0.000000,0.000000
1488491465019.000000,0.000000,0.000000,0.000000
1488491465066.000000,0.000000,0.000000,0.000000
1488491465068.000000,0.000000,0.000000,0.000000
1488491465068.000000,0.000000,0.000000,0.000000
1488491465069.000000,0.000000,0.000000,0.000000
1488491465069.000000,0.000000,0.000000,0.000000
1488491465070.000000,0.000000,0.000000,0.000000
1488491465091.000000,0.000000,0.000000,0.000000
1488491465091.000000,0.000000,0.000000,0.000000
1488491465091.000000,0.000000,0.000000,1.000000
1488491465122.000000,0.000000,0.000000,0.000000
1488491465122.000000,0.000000,0.000000,0.000000
1488491465123.000000,0.000000,0.000000,0.000000
1488491465123.000000,0.000000,0.000000,0.000000
1488491465147.000000,0.000000,0.000000,0.000000
1488491465147.000000,0.000000,0.000000,0.000000
1488491465148.000000,0.000000,0.000000,0.000000
1488491465178.000000,0.000000,0.000000,0.000000
1488491465178.000000,0.000000,0.000000,0.000000
1488491465178.000000,0.000000,0.000000,0.000000
1488491465178.000000,0.000000,0.000000,0.000000
1488491465203.000000,0.000000,0.000000,0.000000
1488491465203.000000,0.000000,0.000000,0.000000
1488491465203.000000,0.000000,0.000000,0.000000
1488491465243.000000,0.000000,0.000000,0.000000
1488491465243.000000,0.000000,0.000000,0.000000
1488491465243.000000,0.000000,0.000000,0.000000
1488491465243.000000,0.000000,0.000000,0.000000
1488491465244.000000,0.000000,0.000000,0.000000
1488491465266.000000,1.000000,0.000000,0.000000
1488491465267.000000,0.000000,0.000000,0.000000
1488491465268.000000,0.000000,0.000000,0.000000
