frame	osa     sroa	vicon	draw	total
0.006	0.015	0.001	0.012	0.000	0.033
0.021	0.004	0.000	0.011	0.000	0.037
0.021	0.003	0.045	0.010	0.000	0.079
0.027	0.027	0.000	0.007	0.000	0.062
0.006	0.012	0.000	0.008	0.000	0.026
0.017	0.012	0.001	0.014	0.000	0.044
0.020	0.003	0.001	0.009	0.000	0.032
0.008	0.013	0.001	0.011	0.000	0.032
0.020	0.014	0.000	0.007	0.000	0.041
0.019	0.009	0.000	0.009	0.018	0.055
0.004	0.009	0.000	0.009	0.000	0.022
0.020	0.013	0.000	0.009	0.000	0.043
0.020	0.011	0.000	0.013	0.000	0.045
0.009	0.011	0.000	0.013	0.000	0.034
0.067	0.021	0.000	0.008	0.000	0.097
0.007	0.012	0.000	0.011	0.000	0.031
0.010	0.007	0.000	0.013	0.000	0.031
0.007	0.032	0.001	0.013	0.000	0.054
0.009	0.011	0.000	0.013	0.000	0.033
0.030	0.021	0.043	0.010	0.059	0.163
0.005	0.003	0.001	0.015	0.000	0.024
0.011	0.014	0.001	0.012	0.000	0.038
0.022	0.004	0.044	0.008	0.000	0.077
0.029	0.022	0.000	0.008	0.000	0.060
0.007	0.011	0.000	0.009	0.000	0.027
0.008	0.009	0.001	0.010	0.000	0.028
0.009	0.015	0.053	0.009	0.000	0.086
0.028	0.029	0.000	0.009	0.000	0.067
0.006	0.013	0.000	0.010	0.000	0.029
0.010	0.013	0.001	0.009	0.028	0.061
0.021	0.009	0.001	0.010	0.000	0.041
0.010	0.010	0.000	0.011	0.000	0.031
0.008	0.013	0.000	0.012	0.000	0.034
0.019	0.003	0.001	0.010	0.000	0.033
0.020	0.011	0.000	0.011	0.000	0.042
0.017	0.016	0.000	0.009	0.000	0.042
0.023	0.032	0.000	0.012	0.000	0.068
0.010	0.024	0.000	0.015	0.000	0.049
0.009	0.016	0.000	0.012	0.000	0.037
0.017	0.005	0.001	0.012	0.016	0.050
0.005	0.015	0.000	0.011	0.000	0.032
0.022	0.020	0.000	0.014	0.000	0.057
0.015	0.010	0.001	0.011	0.000	0.036
0.069	0.003	0.000	0.010	0.000	0.082
0.009	0.024	0.000	0.007	0.000	0.041
0.006	0.010	0.000	0.008	0.000	0.024
0.021	0.023	0.000	0.009	0.000	0.053
0.025	0.010	0.000	0.011	0.000	0.046
0.031	0.003	0.000	0.009	0.000	0.044
0.021	0.012	0.000	0.009	0.015	0.058
0.004	0.016	0.000	0.009	0.000	0.030
0.022	0.009	0.000	0.012	0.000	0.043
0.008	0.014	0.000	0.017	0.000	0.040
0.010	0.009	0.001	0.012	0.000	0.031
0.010	0.012	0.001	0.012	0.000	0.035
0.070	0.019	0.038	0.010	0.000	0.136
0.034	0.004	0.000	0.013	0.000	0.051
0.011	0.012	0.000	0.013	0.000	0.037
0.023	0.005	0.001	0.012	0.000	0.041
0.007	0.009	0.044	0.011	0.059	0.131
0.013	0.004	0.001	0.013	0.000	0.031
0.024	0.006	0.001	0.014	0.000	0.045
0.007	0.011	0.002	0.013	0.000	0.033
0.008	0.011	0.001	0.010	0.000	0.030
0.006	0.009	0.000	0.012	0.000	0.028
0.006	0.009	0.000	0.008	0.000	0.023
0.006	0.012	0.000	0.009	0.000	0.027
0.016	0.006	0.000	0.008	0.000	0.030
0.005	0.019	0.001	0.017	0.000	0.042
0.010	0.018	0.000	0.010	0.016	0.054
0.027	0.003	0.000	0.010	0.000	0.040
0.006	0.008	0.000	0.007	0.000	0.021
0.028	0.012	0.000	0.010	0.000	0.049
0.009	0.012	0.046	0.012	0.000	0.078
0.029	0.029	0.001	0.012	0.000	0.070
0.010	0.011	0.001	0.010	0.000	0.032
0.009	0.007	0.001	0.012	0.000	0.030
0.009	0.012	0.000	0.012	0.000	0.032
0.008	0.010	0.001	0.010	0.000	0.029
0.037	0.004	0.000	0.012	0.018	0.071
0.005	0.015	0.000	0.013	0.000	0.033
0.020	0.004	0.000	0.011	0.000	0.035
0.024	0.013	0.000	0.009	0.000	0.046
