frame	osa     sroa	vicon	draw	total
0.007	0.011	0.000	0.009	0.000	0.027
0.006	0.009	0.000	0.009	0.000	0.025
0.023	0.018	0.000	0.009	0.000	0.049
0.018	0.004	0.001	0.011	0.000	0.034
0.023	0.016	0.000	0.009	0.000	0.049
0.022	0.011	0.001	0.011	0.000	0.045
0.020	0.003	0.001	0.011	0.018	0.052
0.006	0.058	0.000	0.012	0.000	0.076
0.018	0.004	0.000	0.013	0.000	0.035
0.011	0.008	0.000	0.013	0.000	0.033
0.009	0.010	0.000	0.010	0.000	0.030
0.023	0.013	0.000	0.010	0.000	0.046
0.007	0.081	0.000	0.012	0.000	0.101
0.018	0.004	0.001	0.011	0.000	0.034
0.008	0.010	0.000	0.012	0.000	0.031
0.022	0.004	0.001	0.012	0.000	0.038
0.008	0.012	0.001	0.011	0.016	0.047
0.005	0.007	0.001	0.011	0.000	0.024
0.009	0.013	0.000	0.010	0.000	0.032
0.008	0.016	0.000	0.012	0.000	0.036
0.024	0.008	0.000	0.008	0.000	0.041
0.008	0.011	0.001	0.014	0.000	0.033
0.011	0.026	0.000	0.008	0.000	0.045
0.018	0.013	0.000	0.009	0.000	0.040
0.019	0.014	0.000	0.008	0.000	0.042
0.020	0.015	0.001	0.015	0.000	0.050
0.024	0.022	0.001	0.010	0.014	0.071
0.005	0.017	0.000	0.010	0.000	0.032
0.008	0.009	0.000	0.011	0.000	0.028
0.017	0.010	0.000	0.011	0.000	0.038
0.010	0.009	0.000	0.017	0.000	0.037
0.012	0.014	0.001	0.013	0.000	0.039
0.021	0.012	0.001	0.015	0.000	0.049
0.008	0.012	0.000	0.011	0.000	0.032
0.008	0.013	0.000	0.011	0.000	0.033
0.007	0.011	0.001	0.010	0.000	0.028
0.009	0.011	0.000	0.010	0.017	0.048
0.006	0.046	0.001	0.012	0.000	0.065
0.010	0.007	0.001	0.014	0.000	0.032
0.013	0.010	0.044	0.011	0.000	0.078
0.037	0.034	0.000	0.011	0.000	0.083
0.011	0.016	0.001	0.011	0.000	0.039
0.010	0.014	0.042	0.010	0.000	0.075
0.030	0.026	0.000	0.010	0.000	0.066
0.006	0.010	0.001	0.008	0.000	0.024
0.008	0.008	0.000	0.010	0.000	0.027
0.030	0.003	0.000	0.011	0.022	0.067
0.004	0.004	0.000	0.010	0.000	0.018
0.008	0.017	0.001	0.010	0.000	0.036
0.060	0.005	0.000	0.011	0.000	0.077
0.019	0.006	0.052	0.009	0.000	0.086
0.028	0.031	0.000	0.012	0.000	0.072
0.008	0.010	0.000	0.010	0.000	0.028
0.008	0.009	0.001	0.014	0.000	0.032
0.010	0.007	0.001	0.016	0.000	0.034
0.040	0.003	0.000	0.014	0.000	0.058
0.009	0.072	0.001	0.012	0.020	0.113
0.023	0.003	0.000	0.013	0.000	0.040
0.008	0.037	0.001	0.011	0.000	0.057
0.019	0.006	0.000	0.013	0.000	0.039
0.008	0.010	0.000	0.012	0.000	0.030
0.008	0.010	0.001	0.015	0.000	0.033
0.008	0.009	0.000	0.013	0.000	0.031
0.020	0.061	0.000	0.008	0.000	0.089
0.014	0.005	0.000	0.007	0.000	0.027
0.006	0.011	0.000	0.006	0.000	0.024
0.006	0.020	0.044	0.010	0.054	0.135
0.013	0.002	0.000	0.009	0.000	0.024
0.007	0.011	0.001	0.011	0.000	0.031
0.009	0.015	0.000	0.011	0.000	0.035
0.009	0.011	0.000	0.018	0.000	0.039
0.029	0.006	0.000	0.015	0.000	0.050
0.013	0.011	0.001	0.011	0.000	0.035
0.027	0.021	0.000	0.011	0.000	0.059
0.006	0.011	0.048	0.008	0.000	0.073
0.040	0.031	0.001	0.015	0.000	0.086
0.018	0.004	0.001	0.010	0.017	0.050
0.020	0.003	0.000	0.011	0.000	0.035
0.006	0.011	0.001	0.008	0.000	0.025
0.009	0.022	0.001	0.009	0.000	0.041
0.019	0.015	0.001	0.014	0.000	0.049
0.009	0.010	0.000	0.015	0.000	0.034
0.021	0.014	0.000	0.012	0.000	0.048
0.030	0.016	0.000	0.010	0.000	0.057
0.023	0.013	0.000	0.009	0.000	0.045
0.022	0.003	0.000	0.009	0.000	0.035
0.009	0.013	0.048	0.008	0.057	0.135
0.003	0.020	0.000	0.007	0.000	0.031
0.005	0.010	0.000	0.006	0.000	0.022
0.010	0.007	0.001	0.011	0.000	0.029
0.010	0.011	0.001	0.011	0.000	0.032
0.028	0.035	0.000	0.011	0.000	0.075
0.019	0.012	0.000	0.012	0.000	0.044
0.032	0.015	0.000	0.013	0.000	0.060
0.010	0.015	0.001	0.014	0.000	0.039
0.008	0.011	0.000	0.011	0.000	0.031
0.024	0.014	0.000	0.011	0.020	0.070
0.016	0.006	0.000	0.013	0.000	0.036
0.039	0.014	0.000	0.012	0.000	0.065
0.017	0.003	0.001	0.012	0.000	0.033
0.107	0.019	0.000	0.009	0.000	0.136
0.008	0.009	0.001	0.011	0.000	0.028
0.008	0.017	0.001	0.009	0.000	0.034
0.010	0.019	0.000	0.008	0.000	0.037
0.068	0.003	0.000	0.011	0.000	0.082
0.020	0.028	0.000	0.007	0.000	0.056
0.008	0.008	0.001	0.009	0.017	0.044
0.005	0.002	0.000	0.008	0.000	0.016
0.027	0.019	0.001	0.011	0.000	0.058
0.010	0.014	0.000	0.011	0.000	0.035
0.009	0.010	0.000	0.014	0.000	0.033
0.021	0.009	0.000	0.010	0.000	0.041
0.024	0.013	0.001	0.010	0.000	0.047
0.008	0.011	0.001	0.009	0.000	0.028
0.024	0.015	0.000	0.012	0.000	0.051
0.028	0.013	0.000	0.012	0.000	0.053
0.010	0.010	0.000	0.011	0.019	0.050
0.007	0.010	0.000	0.010	0.000	0.027
0.018	0.009	0.000	0.008	0.000	0.036
0.029	0.012	0.000	0.011	0.000	0.052
0.008	0.013	0.001	0.011	0.000	0.032
0.023	0.004	0.001	0.011	0.000	0.039
0.022	0.013	0.000	0.012	0.000	0.047
0.032	0.011	0.000	0.009	0.000	0.053
0.029	0.009	0.001	0.010	0.000	0.049
0.007	0.011	0.000	0.007	0.000	0.025
0.034	0.005	0.001	0.011	0.017	0.067
0.004	0.013	0.000	0.009	0.000	0.027
0.022	0.009	0.000	0.010	0.000	0.041
0.019	0.007	0.000	0.009	0.000	0.036
0.005	0.015	0.000	0.008	0.000	0.028
0.021	0.013	0.000	0.010	0.000	0.044
0.025	0.013	0.000	0.012	0.000	0.050
0.026	0.015	0.000	0.011	0.000	0.053
0.013	0.008	0.000	0.011	0.000	0.032
0.009	0.011	0.000	0.011	0.000	0.032
0.021	0.022	0.000	0.009	0.018	0.070
0.003	0.013	0.051	0.012	0.000	0.080
0.032	0.029	0.001	0.013	0.000	0.074
0.008	0.023	0.000	0.012	0.000	0.043
0.022	0.003	0.042	0.009	0.000	0.077
0.029	0.038	0.000	0.013	0.000	0.080
0.023	0.004	0.001	0.012	0.000	0.039
0.009	0.010	0.038	0.011	0.000	0.068
0.027	0.030	0.000	0.011	0.000	0.067
0.009	0.018	0.001	0.023	0.000	0.050
0.010	0.014	0.000	0.012	0.027	0.063
0.006	0.004	0.000	0.016	0.000	0.026
0.008	0.015	0.001	0.012	0.000	0.036
0.008	0.013	0.000	0.011	0.000	0.032
0.006	0.018	0.000	0.009	0.000	0.034
0.008	0.008	0.001	0.011	0.000	0.028
0.025	0.008	0.001	0.012	0.000	0.045
0.022	0.006	0.001	0.014	0.000	0.042
0.009	0.010	0.000	0.011	0.000	0.030
0.064	0.015	0.000	0.011	0.000	0.089
0.010	0.020	0.001	0.011	0.020	0.061
0.008	0.006	0.000	0.015	0.000	0.029
0.010	0.011	0.001	0.011	0.000	0.033
0.008	0.081	0.000	0.012	0.000	0.101
0.009	0.119	0.001	0.014	0.000	0.144
0.021	0.007	0.051	0.012	0.000	0.091
0.027	0.028	0.001	0.012	0.000	0.067
0.010	0.011	0.001	0.013	0.000	0.035
0.010	0.012	0.000	0.016	0.000	0.038
0.024	0.012	0.001	0.014	0.000	0.051
0.008	0.015	0.001	0.009	0.016	0.049
0.004	0.005	0.000	0.011	0.000	0.019
0.008	0.011	0.001	0.011	0.000	0.031
0.008	0.009	0.000	0.011	0.000	0.029
0.018	0.004	0.001	0.012	0.000	0.035
0.014	0.013	0.000	0.011	0.000	0.039
0.008	0.010	0.000	0.012	0.000	0.030
0.011	0.013	0.000	0.012	0.000	0.036
0.059	0.003	0.000	0.013	0.000	0.076
0.010	0.012	0.001	0.011	0.000	0.034
0.009	0.011	0.001	0.011	0.017	0.049
0.004	0.016	0.000	0.013	0.000	0.034
0.009	0.046	0.001	0.011	0.000	0.066
0.012	0.013	0.001	0.010	0.000	0.036
0.035	0.007	0.000	0.013	0.000	0.055
0.008	0.010	0.000	0.011	0.000	0.029
0.019	0.041	0.001	0.015	0.000	0.076
0.010	0.015	0.000	0.013	0.000	0.039
0.009	0.010	0.000	0.014	0.000	0.034
0.007	0.012	0.001	0.013	0.000	0.033
0.022	0.013	0.000	0.011	0.020	0.066
0.004	0.021	0.001	0.010	0.000	0.035
0.006	0.012	0.000	0.013	0.000	0.032
0.025	0.009	0.001	0.014	0.000	0.049
0.027	0.004	0.000	0.012	0.000	0.043
0.010	0.013	0.000	0.012	0.000	0.035
0.019	0.004	0.001	0.012	0.000	0.035
0.023	0.021	0.000	0.012	0.000	0.056
0.042	0.011	0.000	0.015	0.000	0.068
0.012	0.018	0.001	0.011	0.000	0.043
0.009	0.010	0.000	0.018	0.017	0.055
0.004	0.010	0.000	0.012	0.000	0.027
0.023	0.021	0.000	0.011	0.000	0.054
0.012	0.008	0.000	0.025	0.000	0.045
0.022	0.013	0.001	0.011	0.000	0.047
0.032	0.053	0.001	0.012	0.000	0.098
0.038	0.019	0.000	0.012	0.000	0.069
0.050	0.013	0.000	0.011	0.000	0.075
0.007	0.015	0.001	0.011	0.000	0.034
0.009	0.017	0.000	0.012	0.000	0.037
0.007	0.011	0.000	0.011	0.019	0.050
0.018	0.003	0.000	0.011	0.000	0.033
0.007	0.013	0.001	0.010	0.000	0.030
0.009	0.021	0.001	0.014	0.000	0.044
0.029	0.004	0.000	0.013	0.000	0.046
0.009	0.013	0.000	0.013	0.000	0.035
0.025	0.005	0.000	0.012	0.000	0.043
0.017	0.012	0.001	0.015	0.000	0.045
0.020	0.003	0.000	0.012	0.000	0.035
0.009	0.010	0.000	0.014	0.000	0.034
0.019	0.008	0.002	0.012	0.019	0.061
0.020	0.019	0.000	0.011	0.000	0.050
0.029	0.005	0.001	0.012	0.000	0.047
0.072	0.020	0.001	0.013	0.000	0.106
0.017	0.004	0.001	0.012	0.000	0.034
0.007	0.008	0.001	0.013	0.000	0.029
0.009	0.010	0.000	0.014	0.000	0.033
0.009	0.013	0.001	0.016	0.000	0.038
0.020	0.003	0.000	0.012	0.000	0.035
0.020	0.007	0.000	0.015	0.000	0.042
0.020	0.005	0.000	0.024	0.024	0.073
0.011	0.004	0.001	0.012	0.000	0.028
0.027	0.004	0.000	0.012	0.000	0.043
0.008	0.035	0.000	0.011	0.000	0.053
0.034	0.003	0.000	0.011	0.000	0.048
0.023	0.003	0.000	0.012	0.000	0.039
0.021	0.034	0.000	0.014	0.000	0.069
0.024	0.005	0.000	0.012	0.000	0.041
0.033	0.006	0.000	0.011	0.000	0.050
0.016	0.022	0.001	0.013	0.000	0.052
0.007	0.009	0.000	0.011	0.019	0.048
0.005	0.003	0.000	0.015	0.000	0.023
0.027	0.004	0.051	0.013	0.000	0.094
0.033	0.036	0.000	0.012	0.000	0.082
0.008	0.009	0.001	0.012	0.000	0.030
0.021	0.005	0.000	0.013	0.000	0.039
0.015	0.006	0.000	0.011	0.000	0.033
0.018	0.011	0.000	0.012	0.000	0.041
0.010	0.010	0.000	0.012	0.000	0.033
0.034	0.028	0.047	0.012	0.000	0.120
0.035	0.031	0.000	0.011	0.020	0.097
0.004	0.019	0.000	0.011	0.000	0.034
0.007	0.013	0.000	0.011	0.000	0.031
0.008	0.015	0.000	0.012	0.000	0.035
0.007	0.009	0.001	0.012	0.000	0.029
0.008	0.016	0.001	0.016	0.000	0.040
0.022	0.004	0.001	0.013	0.000	0.039
0.008	0.012	0.001	0.010	0.000	0.031
0.018	0.014	0.001	0.011	0.000	0.043
0.024	0.003	0.000	0.011	0.000	0.038
0.019	0.012	0.000	0.011	0.033	0.075
0.004	0.004	0.001	0.011	0.000	0.020
0.029	0.029	0.001	0.013	0.000	0.072
0.009	0.017	0.000	0.011	0.000	0.038
0.020	0.014	0.000	0.013	0.000	0.048
0.023	0.899	0.000	0.010	0.000	0.932
0.019	0.003	0.001	0.012	0.000	0.035
0.009	0.009	0.001	0.013	0.000	0.031
0.022	0.004	0.000	0.010	0.000	0.037
0.009	0.017	0.054	0.011	0.000	0.091
0.033	0.031	0.001	0.010	0.017	0.091
0.021	0.003	0.000	0.010	0.000	0.034
0.008	0.009	0.000	0.011	0.000	0.028
0.008	0.010	0.001	0.014	0.000	0.033
0.009	0.012	0.001	0.011	0.000	0.033
0.024	0.008	0.000	0.010	0.000	0.043
0.027	0.025	0.001	0.012	0.000	0.064
0.007	0.010	0.001	0.010	0.000	0.028
0.010	0.011	0.001	0.010	0.000	0.031
0.008	0.016	0.000	0.010	0.000	0.035
0.007	0.011	0.000	0.010	0.020	0.049
0.016	0.003	0.000	0.012	0.000	0.031
0.010	0.011	0.046	0.011	0.000	0.078
0.034	0.034	0.001	0.013	0.000	0.082
0.009	0.010	0.000	0.014	0.000	0.033
0.025	0.018	0.001	0.014	0.000	0.057
0.031	0.004	0.001	0.013	0.000	0.049
0.008	0.009	0.000	0.014	0.000	0.032
0.021	0.004	0.001	0.014	0.000	0.040
0.011	0.015	0.000	0.012	0.000	0.038
0.009	0.012	0.001	0.012	0.021	0.054
0.006	0.019	0.001	0.014	0.000	0.040
0.020	0.021	0.001	0.010	0.000	0.052
0.007	0.009	0.001	0.010	0.000	0.026
0.007	0.012	0.000	0.011	0.000	0.030
0.009	0.011	0.000	0.010	0.000	0.031
0.019	0.009	0.000	0.013	0.000	0.041
0.011	0.011	0.001	0.012	0.000	0.035
0.021	0.004	0.000	0.009	0.000	0.034
0.006	0.011	0.001	0.007	0.000	0.025
0.006	0.009	0.000	0.007	0.013	0.036
0.020	0.004	0.000	0.009	0.000	0.034
0.007	0.009	0.000	0.008	0.000	0.024
0.006	0.010	0.001	0.017	0.000	0.034
0.020	0.003	0.001	0.011	0.000	0.035
0.012	0.008	0.000	0.011	0.000	0.032
0.014	0.005	0.001	0.014	0.000	0.034
0.020	0.011	0.001	0.011	0.000	0.043
0.023	0.003	0.000	0.011	0.000	0.038
0.008	0.012	0.001	0.013	0.000	0.034
0.022	0.006	0.004	0.015	0.018	0.065
0.021	0.003	0.001	0.014	0.000	0.038
0.008	0.014	0.001	0.011	0.000	0.034
0.021	0.003	0.000	0.011	0.000	0.036
0.006	0.012	0.001	0.011	0.000	0.030
0.025	0.024	0.000	0.018	0.000	0.068
0.012	0.023	0.000	0.014	0.000	0.049
0.009	0.014	0.001	0.012	0.000	0.035
0.010	0.010	0.000	0.013	0.000	0.034
0.012	0.008	0.001	0.012	0.000	0.032
0.019	0.004	0.001	0.010	0.019	0.052
0.004	0.007	0.000	0.010	0.000	0.022
0.008	0.010	0.000	0.013	0.000	0.032
0.011	0.015	0.000	0.012	0.000	0.038
0.021	0.004	0.001	0.012	0.000	0.038
0.008	0.010	0.001	0.011	0.000	0.029
0.007	0.018	0.000	0.009	0.000	0.035
0.007	0.010	0.000	0.010	0.000	0.027
0.007	0.011	0.001	0.011	0.000	0.029
0.022	0.014	0.000	0.013	0.000	0.050
0.019	0.013	0.001	0.012	0.017	0.061
0.008	0.023	0.040	0.010	0.000	0.082
0.026	0.028	0.000	0.012	0.000	0.067
0.006	0.017	0.003	0.012	0.000	0.038
0.011	0.011	0.000	0.012	0.000	0.034
0.009	0.010	0.001	0.011	0.000	0.031
0.009	0.051	0.000	0.010	0.000	0.071
0.017	0.004	0.001	0.010	0.000	0.031
0.028	0.019	0.000	0.010	0.000	0.058
0.007	0.011	0.046	0.012	0.000	0.076
0.038	0.033	0.001	0.010	0.019	0.100
0.005	0.005	0.000	0.010	0.000	0.020
0.009	0.009	0.051	0.014	0.000	0.083
0.030	0.035	0.000	0.009	0.000	0.074
0.010	0.007	0.001	0.012	0.000	0.029
0.006	0.012	0.040	0.008	0.000	0.066
0.018	0.034	0.000	0.007	0.000	0.060
0.008	0.009	0.001	0.012	0.000	0.029
0.010	0.014	0.001	0.011	0.000	0.036
0.009	0.009	0.000	0.013	0.000	0.031
0.009	0.023	0.000	0.010	0.018	0.061
0.019	0.005	0.000	0.011	0.000	0.036
0.013	0.004	0.001	0.037	0.000	0.055
0.025	0.018	0.042	0.009	0.000	0.094
0.030	0.037	0.000	0.010	0.000	0.077
0.006	0.013	0.000	0.010	0.000	0.030
0.009	0.014	0.001	0.014	0.000	0.038
0.019	0.006	0.000	0.013	0.000	0.039
0.014	0.005	0.001	0.014	0.000	0.035
0.020	0.004	0.000	0.010	0.000	0.034
0.008	0.015	0.000	0.011	0.018	0.053
0.013	0.003	0.000	0.009	0.000	0.025
0.017	0.013	0.000	0.009	0.000	0.039
0.012	0.009	0.000	0.014	0.000	0.035
0.019	0.004	0.001	0.009	0.000	0.033
0.023	0.006	0.000	0.014	0.000	0.042
0.017	0.009	0.000	0.008	0.000	0.034
0.022	0.010	0.000	0.008	0.000	0.041
0.030	0.013	0.000	0.009	0.000	0.053
0.005	0.017	0.001	0.014	0.000	0.037
0.022	0.020	0.001	0.013	0.019	0.075
0.004	0.003	0.000	0.011	0.000	0.019
0.018	0.014	0.001	0.011	0.000	0.043
0.020	0.009	0.000	0.010	0.000	0.039
0.021	0.024	0.001	0.012	0.000	0.058
0.024	0.014	0.000	0.012	0.000	0.050
0.028	0.010	0.000	0.011	0.000	0.050
0.121	0.020	0.001	0.015	0.000	0.157
0.009	0.013	0.001	0.015	0.000	0.037
0.026	0.031	0.000	0.013	0.000	0.071
0.007	0.011	0.002	0.009	0.017	0.046
0.022	0.003	0.000	0.010	0.000	0.036
0.006	0.012	0.000	0.010	0.000	0.028
0.008	0.017	0.000	0.011	0.000	0.036
0.013	0.017	0.000	0.015	0.000	0.046
0.025	0.012	0.001	0.010	0.000	0.047
0.008	0.009	0.000	0.010	0.000	0.027
0.006	0.010	0.048	0.006	0.000	0.071
0.065	0.005	0.000	0.012	0.000	0.082
0.010	0.009	0.001	0.015	0.000	0.034
0.022	0.003	0.039	0.011	0.075	0.149
0.017	0.009	0.000	0.012	0.000	0.039
0.013	0.007	0.000	0.012	0.000	0.032
0.009	0.011	0.001	0.013	0.000	0.032
0.007	0.019	0.000	0.010	0.000	0.037
0.009	0.008	0.006	0.012	0.000	0.034
0.007	0.010	0.000	0.011	0.000	0.029
0.015	0.010	0.000	0.012	0.000	0.037
0.030	0.003	0.057	0.011	0.000	0.101
0.029	0.028	0.001	0.010	0.000	0.068
0.008	0.009	0.000	0.013	0.017	0.048
0.003	0.006	0.051	0.011	0.000	0.072
0.033	0.030	0.001	0.013	0.000	0.076
0.007	0.018	0.001	0.009	0.000	0.035
0.006	0.009	0.000	0.008	0.000	0.023
0.005	0.009	0.000	0.009	0.000	0.023
0.006	0.009	0.000	0.007	0.000	0.023
0.020	0.008	0.000	0.010	0.000	0.038
0.014	0.006	0.001	0.011	0.000	0.031
0.019	0.013	0.000	0.012	0.000	0.045
0.011	0.008	0.001	0.012	0.021	0.052
0.003	0.013	0.000	0.010	0.000	0.027
0.011	0.009	0.001	0.011	0.000	0.031
0.017	0.014	0.000	0.010	0.000	0.042
0.023	0.101	0.000	0.010	0.000	0.134
0.016	0.003	0.000	0.012	0.000	0.031
0.007	0.010	0.000	0.010	0.000	0.028
0.008	0.010	0.000	0.010	0.000	0.028
0.008	0.012	0.001	0.011	0.000	0.032
0.010	0.008	0.000	0.016	0.000	0.034
0.022	0.004	0.000	0.013	0.018	0.056
0.005	0.005	0.001	0.010	0.000	0.021
0.011	0.009	0.000	0.011	0.000	0.032
0.032	0.003	0.000	0.011	0.000	0.047
0.006	0.017	0.000	0.009	0.000	0.032
0.060	0.020	0.001	0.009	0.000	0.090
0.007	0.011	0.000	0.012	0.000	0.030
0.006	0.011	0.001	0.010	0.000	0.027
0.006	0.011	0.000	0.008	0.000	0.025
0.006	0.010	0.000	0.009	0.000	0.026
0.006	0.016	0.000	0.008	0.013	0.043
0.004	0.039	0.001	0.013	0.000	0.056
0.011	0.007	0.000	0.007	0.000	0.026
0.008	0.011	0.000	0.016	0.000	0.036
0.008	0.013	0.000	0.012	0.000	0.033
0.018	0.003	0.000	0.010	0.000	0.032
0.007	0.014	0.001	0.010	0.000	0.031
0.021	0.005	0.000	0.010	0.000	0.036
0.007	0.009	0.001	0.011	0.000	0.028
0.009	0.016	0.000	0.012	0.000	0.039
0.014	0.027	0.000	0.014	0.018	0.074
0.008	0.018	0.000	0.012	0.000	0.039
0.033	0.003	0.000	0.009	0.000	0.045
0.007	0.013	0.000	0.008	0.000	0.028
0.024	0.008	0.000	0.014	0.000	0.048
0.039	0.004	0.001	0.012	0.000	0.056
0.028	0.021	0.000	0.009	0.000	0.058
0.006	0.038	0.001	0.009	0.000	0.054
0.020	0.008	0.064	0.012	0.000	0.104
0.034	0.035	0.001	0.008	0.000	0.078
0.006	0.013	0.000	0.009	0.026	0.055
0.019	0.003	0.000	0.008	0.000	0.031
0.007	0.010	0.000	0.009	0.000	0.026
0.006	0.013	0.001	0.016	0.000	0.035
0.009	0.011	0.001	0.011	0.000	0.032
0.009	0.011	0.001	0.014	0.000	0.035
0.115	0.020	0.000	0.014	0.000	0.149
0.009	0.010	0.000	0.014	0.000	0.033
0.012	0.007	0.005	0.011	0.000	0.035
0.018	0.005	0.002	0.015	0.000	0.038
0.021	0.005	0.000	0.011	0.015	0.053
0.010	0.004	0.000	0.009	0.000	0.023
0.019	0.015	0.000	0.010	0.000	0.045
0.021	0.003	0.001	0.019	0.000	0.044
0.022	0.004	0.001	0.014	0.000	0.041
0.023	0.015	0.001	0.012	0.000	0.051
0.021	0.006	0.000	0.011	0.000	0.038
0.019	0.009	0.001	0.011	0.000	0.040
0.021	0.021	0.001	0.010	0.000	0.053
0.034	0.004	0.000	0.013	0.000	0.051
0.012	0.022	0.000	0.010	0.017	0.061
0.021	0.003	0.000	0.010	0.000	0.034
0.035	0.020	0.001	0.008	0.000	0.064
0.004	0.010	0.001	0.007	0.000	0.022
0.011	0.011	0.000	0.010	0.000	0.033
0.010	0.011	0.000	0.008	0.000	0.029
0.024	0.016	0.001	0.013	0.000	0.054
0.011	0.007	0.052	0.008	0.000	0.079
0.062	0.003	0.001	0.010	0.000	0.076
0.007	0.011	0.001	0.008	0.000	0.026
0.008	0.014	0.001	0.012	0.020	0.054
0.004	0.004	0.000	0.012	0.000	0.021
0.020	0.014	0.000	0.008	0.000	0.043
0.020	0.013	0.000	0.011	0.000	0.045
0.030	0.011	0.000	0.010	0.000	0.051
0.021	0.011	0.001	0.014	0.000	0.046
0.010	0.009	0.000	0.012	0.000	0.031
0.009	0.038	0.000	0.008	0.000	0.056
0.024	0.003	0.000	0.012	0.000	0.039
0.007	0.014	0.000	0.011	0.000	0.033
0.019	0.005	0.000	0.011	0.020	0.055
0.023	0.004	0.000	0.013	0.000	0.040
0.007	0.014	0.000	0.011	0.000	0.032
0.007	0.010	0.000	0.011	0.000	0.028
0.007	0.013	0.000	0.008	0.000	0.028
0.009	0.012	0.000	0.010	0.000	0.031
0.040	0.011	0.000	0.007	0.000	0.058
0.026	0.026	0.000	0.009	0.000	0.062
0.008	0.010	0.001	0.014	0.000	0.032
0.013	0.009	0.002	0.014	0.000	0.038
0.020	0.004	0.000	0.008	0.016	0.048
0.005	0.003	0.000	0.011	0.000	0.020
0.020	0.005	0.000	0.011	0.000	0.037
0.021	0.021	0.001	0.015	0.000	0.058
0.009	0.017	0.000	0.014	0.000	0.041
0.022	0.012	0.001	0.012	0.000	0.047
0.023	0.015	0.000	0.010	0.000	0.049
0.045	0.020	0.000	0.010	0.000	0.075
0.009	0.010	0.000	0.014	0.000	0.033
0.010	0.016	0.000	0.013	0.000	0.040
0.102	0.021	0.000	0.011	0.040	0.174
0.010	0.005	0.000	0.014	0.000	0.030
0.018	0.004	0.001	0.013	0.000	0.036
0.008	0.011	0.000	0.011	0.000	0.030
0.007	0.010	0.001	0.010	0.000	0.027
0.007	0.009	0.000	0.009	0.000	0.024
0.027	0.013	0.000	0.007	0.000	0.047
0.006	0.022	0.000	0.006	0.000	0.035
0.022	0.005	0.001	0.015	0.000	0.043
0.009	0.062	0.000	0.011	0.000	0.083
0.007	0.009	0.047	0.010	0.073	0.146
0.012	0.025	0.000	0.012	0.000	0.050
0.009	0.011	0.047	0.009	0.000	0.076
0.028	0.030	0.001	0.010	0.000	0.068
0.007	0.010	0.001	0.010	0.000	0.028
0.006	0.011	0.001	0.013	0.000	0.030
0.020	0.004	0.000	0.013	0.000	0.037
0.010	0.007	0.000	0.013	0.000	0.030
0.010	0.011	0.000	0.015	0.000	0.037
0.012	0.019	0.001	0.011	0.000	0.043
0.007	0.011	0.000	0.011	0.016	0.046
0.036	0.021	0.001	0.014	0.000	0.073
0.008	0.017	0.001	0.009	0.000	0.035
0.008	0.011	0.001	0.011	0.000	0.030
0.008	0.016	0.000	0.009	0.000	0.034
0.005	0.011	0.000	0.008	0.000	0.024
0.006	0.010	0.001	0.008	0.000	0.026
0.007	0.007	0.000	0.009	0.000	0.023
0.007	0.011	0.000	0.007	0.000	0.025
0.016	0.008	0.001	0.014	0.000	0.039
0.026	0.012	0.000	0.013	0.018	0.070
0.031	0.003	0.044	0.010	0.000	0.088
0.025	0.030	0.000	0.011	0.000	0.067
0.033	0.003	0.000	0.010	0.000	0.047
0.020	0.003	0.000	0.015	0.000	0.039
0.008	0.010	0.001	0.012	0.000	0.030
0.010	0.009	0.000	0.011	0.000	0.031
0.018	0.003	0.001	0.011	0.000	0.033
0.007	0.015	0.000	0.011	0.000	0.033
0.034	0.012	0.000	0.013	0.000	0.059
0.011	0.007	0.000	0.014	0.021	0.053
0.004	0.009	0.000	0.012	0.000	0.026
0.021	0.010	0.000	0.010	0.000	0.040
0.031	0.010	0.001	0.010	0.000	0.053
0.011	0.018	0.052	0.017	0.000	0.098
0.029	0.035	0.001	0.010	0.000	0.074
0.007	0.010	0.000	0.008	0.000	0.025
0.005	0.011	0.000	0.008	0.000	0.025
0.010	0.010	0.000	0.008	0.000	0.028
0.009	0.010	0.001	0.012	0.000	0.031
0.016	0.003	0.001	0.015	0.024	0.058
0.013	0.006	0.000	0.012	0.000	0.032
0.011	0.007	0.009	0.017	0.000	0.044
0.072	0.021	0.000	0.011	0.000	0.104
0.027	0.009	0.001	0.016	0.000	0.052
0.008	0.015	0.001	0.014	0.000	0.038
0.018	0.004	0.001	0.012	0.000	0.035
0.009	0.010	0.000	0.012	0.000	0.032
0.021	0.004	0.001	0.010	0.000	0.036
0.018	0.009	0.000	0.010	0.000	0.037
0.018	0.012	0.000	0.010	0.018	0.058
0.008	0.007	0.000	0.017	0.000	0.032
0.026	0.013	0.001	0.011	0.000	0.051
0.011	0.011	0.000	0.011	0.000	0.033
0.007	0.009	0.001	0.015	0.000	0.032
0.032	0.004	0.001	0.010	0.000	0.046
0.024	0.018	0.000	0.013	0.000	0.054
0.023	0.014	0.000	0.012	0.000	0.049
0.009	0.014	0.000	0.011	0.000	0.034
0.034	0.002	0.000	0.009	0.000	0.045
0.007	0.009	0.001	0.009	0.016	0.042
0.024	0.003	0.000	0.006	0.000	0.034
0.023	0.003	0.000	0.009	0.000	0.035
0.010	0.009	0.000	0.010	0.000	0.030
0.006	0.016	0.000	0.014	0.000	0.036
0.089	0.019	0.000	0.010	0.000	0.119
